110314 0101 00002  501  28                                             1822 G 
110314 0104 00156           501  01            1822                92338830 7 
110314 0104 00210  501  28                                             1822 9 
110314 0626 00005  501  29                     4201                    1822 G 
110314 0627 00102  501  29                     4201                    1822 9 
110314 0627 00007  501  30                     4201                    1822 G 
110314 0627 00015  501  30                     4201                    1822 9 
110314 0642 00005           501  01            1822                   24060 7 
110314 0714 00002  501  01                     4191                    1822 G 
110314 0714 00012  501  01                     4191                    1822 9 
110314 0742 00004  501  02                     4091                    1822 G 
110314 0743 00020  501  02                     4091                    1822 9 
110314 0754 00002           501  01            1858                    1981 7 
110314 0754 00002  501  03                     4302                    1858 9 
110314 0803 00002           501  01            1858                    1981 7 
110314 0803 00002  501  04                     4302                    1858 9 
110314 0810 00009  501  05                     1800                    1858 H 
110314 0814 00002  501  06                     4111                    1822 G 
110314 0814 00021  501  06                     4111                    1822 9 
110314 0815 00036           501  01            1858                    1800 7 
110314 0816 00003  501  07                     4161                    1822 G 
110314 0816 00025  501  07                     4161                    1822 9 
110314 0823 00433           501  01            1858                    4302 7 
110314 0827 00006  501  08                                             1822 G 
110314 0830 00002  501  09                     4121                    1822 G 
110314 0830 00328  501  08                                             1822 9 
110314 0831 00054  501  09                     4121                    1822 9 
110314 0832 00002  501  10                                             1822 G 
110314 0835 00258  501  10                                             1822 9 
110314 0837 00056           501  01            1427            989202557961 7 
110314 0838 00026           501  01            1858                    4302 7 
110314 0846 00002  501  11                     1828                    1822 G 
110314 0846 00020  501  11                     1828                    1822 9 
110314 0847 00016  501  12               9082330098                    1983 9 
110314 0848 00002  501  13               9082330098                    1983 9 
110314 0852 00004  501  14                     4021                    1822 G 
110314 0852 00011  501  14                     4021                    1822 9 
110314 0852 00002  501  15                                             1822 G 
110314 0853 00050  501  15                                             1822 9 
110314 0856 00016  501  16                     1810                    1818 H 
110314 0858 00002  501  17                     4301                    1858 G 
110314 0858 00029  501  17                     4301                    1858 9 
110314 0859 00001  501  18                     1416                    1858 G 
110314 0900 00104  501  18                     1416                    1858 9 
110314 0900 00003           501  01            1428                    1981 7 
110314 0900 00003  501  19                     1313                    1428 9 
110314 0903 00002  501  20                     4073                    1822 G 
110314 0903 00011  501  20                     4073                    1822 9 
110314 0903 00007  501  21                   011030                    1853 G 
110314 0905 00002  501  22                     4105                    1858 G 
110314 0905 00134  501  21                   011030                    1853 9 
110314 0906 00026  501  23                     1935                    1853 G 
110314 0906 00133  501  22                     4105                    1858 9 
110314 0907 00002  501  25                     1255                    1858 G 
110314 0907 00009  501  24                     1810                    1818 G 
110314 0907 00016  501  24                     1810                    1818 9 
110314 0908 00048  501  25                     1255                    1858 9 
110314 0908 00040           501  01            1858                    1255 7 
110314 0908 00007           501  02            1853                    1935 7 
110314 0909 00003           501  02            1428                    1981 7 
110314 0909 00003  501  26                     1313                    1428 9 
110314 0909 00002  501  27                     1944                    1853 G 
110314 0910 00111  501  27                     1944                    1853 9 
110314 0911 00101           501  02            1818                    1810 7 
110314 0911 00026  501  28                     1214                    1853 H 
110314 0911 00004  501  29                     4191                    1858 G 
110314 0911 00244           501  01            1853                    1958 7 
110314 0911 00509  501  23                     1935                    1853 9 
110314 0911 00013  501  30                     4081                    1822 G 
110314 0912 00053  501  30                     4081                    1822 9 
110314 0914 00048  501  01                   011035                    1853 G 
110314 0914 00001  501  01                   011035                    1853 9 
110314 0914 00000  501  03                   011035                    1855 I 
110314 0914 00000  501  04                   011035                    1855 I 
110314 0914 00000  501  05                   011035                    1855 I 
110314 0914 00002           501  03            1428                    1981 7 
110314 0914 00002  501  02                     1313                    1428 9 
110314 0914 00024           501  01            1826                    4041 7 
110314 0914 00000  501  06                   011035                    1855 I 
110314 0914 00327  501  29                     4191                    1858 9 
110314 0914 00000  501  07                   011035                    1855 I 
110314 0914 00000  501  08                   011035                    1855 I 
110314 0914 00000  501  09                   011035                    1855 I 
110314 0914 00000  501  10                   011035                    1855 I 
110314 0914 00000  501  11                   011035                    1855 I 
110314 0915 00013           501  01            1826                    4051 7 
110314 0916 00002  501  12                     4181                    1822 G 
110314 0917 00013  501  12                     4181                    1822 9 
110314 0918 00002  501  13                     1810                    1818 G 
110314 0919 00002  501  14                     1255                    1858 G 
110314 0920 00052  501  14                     1255                    1858 9 
110314 0923 00435  501  13                     1810                    1818 9 
110314 0923 00026  501  15                     1313                    1428 H 
110314 0925 00005  501  16               8352520641                    1983 9 
110314 0925 00004  501  19                     4076                    1853 G 
110314 0926 00002  501  17                     1920                    1858 9 
110314 0926 00002           501  02            1858                    1981 7 
110314 0926 00002           501  02            1858                    1981 7 
110314 0926 00003  501  18                     1221                    1858 9 
110314 0926 00050           501  01            1822                    4111 7 
110314 0928 00220  501  19                     4076                    1853 9 
110314 0929 00002  501  20                     1255                    1858 9 
110314 0929 00002           501  03            1858                    1981 7 
110314 0930 00003  501  21                     1828                    1818 G 
110314 0931 00008  501  22                     1701                    1822 G 
110314 0932 00002  501  23                    04237                    1854 G 
110314 0932 00002  501  24                     1221                    1425 G 
110314 0932 00036  501  22                     1701                    1822 9 
110314 0933 00546           501  01            1858                    4302 7 
110314 0933 00011  501  25                     1255                    1858 G 
110314 0933 00057  501  24                     1221                    1425 9 
110314 0933 00023  501  25                     1255                    1858 9 
110314 0933 00128  501  23                    04237                    1854 9 
110314 0933 00003           501  04            1428                    1981 7 
110314 0933 00003  501  26                     1313                    1428 9 
110314 0934 00020           501  03            1858                    1416 7 
110314 0934 00404  501  21                     1828                    1818 9 
110314 0935 00217           501  02            1871            989124601798 7 
110314 0936 00008  501  27                     4111                    1822 G 
110314 0936 00007  501  27                     4111                    1822 9 
110314 0937 00016  501  28               9103968870                    1983 9 
110314 0938 00441           501  01            1425                    1701 7 
110314 0938 00016  501  29               9103968870                    1983 9 
110314 0939 00002  501  30                     1313                    1428 9 
110314 0939 00002           501  01            1428                    1981 7 
110314 0941 00002  501  02                                             1822 G 
110314 0941 00120           501  01            1440            989519108261 7 
110314 0941 00024  501  02                                             1822 9 
110314 0941 00025  501  03                     1229                    1426 H 
110314 0942 00029  501  04                     1313                    1428 H 
110314 0943 00047           501  01            1822                    4171 7 
110314 0944 00007  501  05                     1944                    1440 G 
110314 0944 00002  501  06                     1840                    1821 G 
110314 0945 00043  501  05                     1944                    1440 9 
110314 0946 00108  501  06                     1840                    1821 9 
110314 0946 00005  501  07                     1839                    1827 G 
110314 0947 00024  501  07                     1839                    1827 9 
110314 0948 00027           501  02            1440            989519108261 7 
110314 0948 00057           501  01            1827                    1839 7 
110314 0949 00005  501  08                                             1822 G 
110314 0949 00043           501  01            1821            989127602499 7 
110314 0949 00010  501  08                                             1822 9 
110314 0950 00002  501  09                   017770                    1881 G 
110314 0951 00000  501  10                   016195                    1881 I 
110314 0951 00003           501  01            1821                  015530 7 
110314 0952 00030           501  01            1821                  015573 7 
110314 0952 00000  501  11                   016195                    1881 I 
110314 0952 00124  501  09                   017770                    1881 9 
110314 0953 00017  501  12               8312449295                    1983 9 
110314 0953 00053           501  01            1850            989200372108 7 
110314 0954 00004  501  13                     1878                    1835 G 
110314 0954 00002  501  14                   016195                    1881 G 
110314 0955 00047  501  14                   016195                    1881 9 
110314 0955 00138  501  13                     1878                    1835 9 
110314 0956 00018           501  01            1835                92737048 7 
110314 0956 00005  501  15               9127602532                    1822 G 
110314 0958 00002  501  17                     4091                    1822 G 
110314 0958 00030  501  16                     1313                    1428 H 
110314 0958 00000  501  19                     1015                    1855 I 
110314 0958 00012  501  18                     4301                    1822 G 
110314 0958 00122           501  02            1822                    1837 7 
110314 0958 00141  501  15               9127602532                    1822 9 
110314 0958 00022  501  17                     4091                    1822 9 
110314 0958 00002           501  02            1853                    1981 7 
110314 0958 00003  501  20                     1015                    1853 9 
110314 0959 00100  501  18                     4301                    1822 9 
110314 1000 00029  501  21                     1991                    1428 H 
110314 1000 00015           501  03            1821                  014550 7 
110314 1000 00021           501  02            1822                   04347 7 
110314 1000 00003           501  03            1858                    1981 7 
110314 1000 00003  501  22                     4302                    1858 9 
110314 1002 00102           501  03            1858                    1944 7 
110314 1002 00201           501  02            1425                    1528 7 
110314 1004 00815           501  01            1835             89616330032 7 
110314 1006 00018  501  23                     1313                    1428 H 
110314 1007 00000  501  24                     1015                    1855 I 
110314 1007 00002  501  26                     1015                    1853 G 
110314 1007 00435           501  03            1858                    1953 7 
110314 1007 00002  501  25                     1926                    1858 9 
110314 1007 00002           501  01            1858                    1981 7 
110314 1007 00002  501  27               9127602499                    1821 G 
110314 1007 00008  501  28                     1313                    1428 G 
110314 1008 00012  501  29                     1944                    1858 G 
110314 1008 00018  501  27               9127602499                    1821 9 
110314 1009 00024  501  30               9127602499                    1821 G 
110314 1009 00042           501  01            1821                  015573 7 
110314 1010 00014  501  30               9127602499                    1821 9 
110314 1010 00020           501  02            1854            989190005790 7 
110314 1010 00242  501  29                     1944                    1858 9 
110314 1011 00003           501  03            1853                    1981 7 
110314 1011 00003  501  02                     1944                    1853 9 
110314 1012 00403  501  28                     1313                    1428 9 
110314 1012 00003  501  03                     4302                    1858 G 
110314 1012 00106           501  01            1851            989040569217 7 
110314 1012 00034  501  03                     4302                    1858 9 
110314 1012 00549  501  26                     1015                    1853 9 
110314 1013 00012  501  04                    04347                    1822 G 
110314 1013 00101           501  02            1854                   04237 7 
110314 1013 00007  501  05                     1991                    1428 G 
110314 1013 00020  501  04                    04347                    1822 9 
110314 1014 00002  501  06                     1828                    1826 G 
110314 1016 00018  501  07                     1920                    1858 G 
110314 1016 00304  501  05                     1991                    1428 9 
110314 1016 00002  501  08                     4522                    1854 G 
110314 1017 00108  501  07                     1920                    1858 9 
110314 1017 00041  501  08                     4522                    1854 9 
110314 1018 00005  501  09                     4522                    1424 G 
110314 1018 00337  501  06                     1828                    1826 9 
110314 1018 00037           501  01            1858                    1226 7 
110314 1018 00028           501  02            1427            989202557961 7 
110314 1019 00111  501  09                     4522                    1424 9 
110314 1019 00021  501  10                     1828                    1426 H 
110314 1019 00023  501  12                     1828                    1858 H 
110314 1019 00035  501  11                   011008                    1853 H 
110314 1021 00004           501  01            1427            989506102557 7 
110314 1022 00007  501  13                   011008                    1853 G 
110314 1022 00037           501  01            1427            989506102557 7 
110314 1023 00030  501  13                   011008                    1853 9 
110314 1024 00019           501  01            1427            989202557961 7 
110314 1024 00003  501  14                     1313                    1428 G 
110314 1024 00009  501  16                     1944                    1853 G 
110314 1024 00019  501  15                   014509                    1822 G 
110314 1024 00000  501  15                   014509                    1822 9 
110314 1024 00006  501  17                     1923                    1424 G 
110314 1024 00020  501  18                     1992                    1428 H 
110314 1025 00103  501  16                     1944                    1853 9 
110314 1025 00115  501  17                     1923                    1424 9 
110314 1026 00053           501  01            1835                92730706 7 
110314 1027 00002  501  19                     4014                    1822 G 
110314 1027 00123           501  03            1858                    1828 7 
110314 1027 00249  501  14                     1313                    1428 9 
110314 1027 00014  501  19                     4014                    1822 9 
110314 1027 00001  501  20                     1828                    1822 G 
110314 1027 00009           501  01            1835                    1840 7 
110314 1027 00128           501  04            1860                  063666 7 
110314 1028 00057           501  02            1427            989506102557 7 
110314 1028 00111  501  20                     1828                    1822 9 
110314 1030 00019           501  05            1860                  071520 7 
110314 1030 00136           501  02            1427            989202557961 7 
110314 1030 00108           501  04            1858                    1924 7 
110314 1030 00012  501  21               8312959312                    1983 9 
110314 1031 00008  501  22                     1923                    1424 G 
110314 1032 00109           501  03            1860                    4151 7 
110314 1032 00134  501  22                     1923                    1424 9 
110314 1033 00007  501  23                     4525                    1850 G 
110314 1033 00532           501  01            1835             89616330032 7 
110314 1033 00031  501  23                     4525                    1850 9 
110314 1034 00002  501  24                    04349                    1822 G 
110314 1034 00031           501  01            1835                92257810 7 
110314 1034 00014  501  24                    04349                    1822 9 
110314 1034 00023  501  25                     1800                    1858 H 
110314 1035 00111           501  02            1851                    1123 7 
110314 1037 00041           501  03            1850            989043193804 7 
110314 1038 00214           501  02            1881                  014521 7 
110314 1039 00003  501  26                     4105                    1853 G 
110314 1039 00141           501  04            1858                    1610 7 
110314 1040 00100  501  26                     4105                    1853 9 
110314 1043 00017  501  27               8312460589                    1983 9 
110314 1043 00001  501  29                     1923                    1858 H 
110314 1043 00006  501  28                     1520                    1429 G 
110314 1044 00003  501  30                     1923                    1858 G 
110314 1044 00006  501  02                   015627                    1881 G 
110314 1044 00028  501  02                   015627                    1881 9 
110314 1045 00021           501  03            1854                   04237 7 
110314 1045 00112  501  30                     1923                    1858 9 
110314 1046 00012           501  05            1827                    1832 7 
110314 1046 00135           501  02            1425                94215801 7 
110314 1047 00019  501  05                     1015                    1853 G 
110314 1047 00101           501  03            1858                92484737 7 
110314 1047 00134           501  04            1856                92339017 7 
110314 1048 00016  501  06               8316150123                    1983 9 
110314 1048 00011           501  02            1858                    1976 7 
110314 1049 01454           501  01            1835             89616330032 7 
110314 1049 00002           501  03            1426                    1981 7 
110314 1049 00003  501  07                     1121                    1426 9 
110314 1049 00037           501  02            1853            989056659965 7 
110314 1050 00002  501  08                     1840                    1827 G 
110314 1050 00338  501  05                     1015                    1853 9 
110314 1051 00713  501  28                     1520                    1429 9 
110314 1051 00040  501  08                     1840                    1827 9 
110314 1052 00023  501  09                     1255                    1428 G 
110314 1052 00035  501  10                   011010                    1853 H 
110314 1053 00010           501  03            1824                    1840 7 
110314 1053 00003  501  12                     1840                    1824 G 
110314 1053 00023  501  11                     1229                    1426 H 
110314 1053 00018  501  12                     1840                    1824 9 
110314 1054 00135           501  02            1853                   04304 7 
110314 1054 00507           501  01            1858                    4302 7 
110314 1055 00315  501  09                     1255                    1428 9 
110314 1055 00016  501  13               8314118081                    1983 9 
110314 1056 00003  501  14                     1811                    1818 G 
110314 1056 00011  501  15                     1800                    1858 H 
110314 1056 00016  501  16               8314118081                    1983 9 
110314 1057 00008  501  17                   011010                    1853 G 
110314 1058 00205  501  14                     1811                    1818 9 
110314 1058 00206           501  01            1858                    1800 7 
110314 1058 00004  501  18                     1848                    1835 G 
110314 1059 00151  501  17                   011010                    1853 9 
110314 1059 00134           501  02            1853                    3070 7 
110314 1059 00045  501  18                     1848                    1835 9 
110314 1059 00010           501  01            1853                92957356 7 
110314 1100 00024  501  19                     1121                    1426 H 
110314 1100 00010           501  02            1822                    4091 7 
110314 1101 00112           501  01            1858                    1225 7 
110314 1101 00005  501  20                     1233                    1826 G 
110314 1102 00047           501  01            1860                    1438 7 
110314 1102 00018  501  21                     1121                    1426 H 
110314 1102 00108  501  20                     1233                    1826 9 
110314 1102 00010  501  22               8432794674                    1983 9 
110314 1103 00009  501  23                     1926                    1858 G 
110314 1104 00017  501  24               8312788198                    1983 9 
110314 1104 00009  501  25                     4091                    1822 G 
110314 1104 00007           501  01            1851                    1123 7 
110314 1105 00010  501  25                     4091                    1822 9 
110314 1105 00024  501  26                    61426                    1858 H 
110314 1107 00002  501  27                     1015                    1853 G 
110314 1108 00305           501  01            1860                  071541 7 
110314 1111 00103           501  03            1860                  016234 7 
110314 1111 00155           501  01            1824                    4320 7 
110314 1111 00410  501  27                     1015                    1853 9 
110314 1111 00347           501  02            1853                    1298 7 
110314 1111 00002  501  28                                             1822 G 
110314 1112 00015  501  28                                             1822 9 
110314 1112 00008           501  01            1822                   23885 7 
110314 1112 00002  501  29                    04347                    1822 G 
110314 1112 00009  501  29                    04347                    1822 9 
110314 1113 00955  501  23                     1926                    1858 9 
110314 1113 00008  501  30                     1720                    1822 H 
110314 1113 00012  501  01                     1720                    1822 G 
110314 1114 00037  501  01                     1720                    1822 9 
110314 1115 00151           501  02            1858                    4302 7 
110314 1116 00001           501  01            1858                    1925 7 
110314 1116 00011  501  02                     1924                    1426 H 
110314 1116 00006  501  03                     1015                    1853 G 
110314 1116 00019  501  04                     1924                    1424 G 
110314 1116 00000  501  04                     1924                    1424 9 
110314 1117 00010  501  05                     1924                    1428 G 
110314 1118 00123  501  05                     1924                    1428 9 
110314 1118 00003  501  08                     1226                    1424 G 
110314 1118 00002           501  02            1858                    1981 7 
110314 1118 00003  501  06                     1944                    1858 9 
110314 1119 00046           501  01            1853            989107902849 7 
110314 1119 00003  501  07                     1924                    1526 9 
110314 1119 00003           501  01            1526                    1981 7 
110314 1119 00003  501  09                     1924                    1425 G 
110314 1119 00311  501  03                     1015                    1853 9 
